Chunk,Layer,Shape,Shape type,Area (mm^2)
Copy of Chunk 1,1977,1,Polygon,2.7786252494341674
Copy of Chunk 1,2858,1,Polygon,1.354317344497504
Copy of Chunk 1,2858,3,Polygon,0.7703934244229497
Copy of Chunk 1,3044,1,Polygon,1.3634169042272997
Copy of Chunk 1,3044,2,Polygon,2.9134286626046215
Copy of Chunk 1,3044,3,Polygon,0.8700144653640359
Copy of Chunk 1,3425,1,Polygon,5.708282807955256
Copy of Chunk 1,3425,2,Polygon,1.6249897413284118
Copy of Chunk 1,2332,1,Polygon,8.25939450662126
Copy of Chunk 1,2332,2,Polygon,1.571774366465305
Copy of Chunk 1,2332,3,Polygon,0.4456665600618409
Copy of Chunk 1,2332,4,Polygon,0.5535376149660443
Copy of Chunk 1,644,1,Polygon,6.545468626340434
Copy of Chunk 1,644,2,Polygon,1.016879303370338
Copy of Chunk 1,644,3,Polygon,1.3775331020027635
Copy of Chunk 1,644,4,Polygon,1.6885700553994325
Copy of Chunk 1,2576,1,Polygon,1.582523744483672
Copy of Chunk 1,2576,3,Polygon,0.09584246960471372
Copy of Chunk 1,815,1,Polygon,1.5326461008962668
Copy of Chunk 1,815,3,Polygon,0.6565800543927458
Copy of Chunk 1,815,4,Polygon,0.6286205298895818
Copy of Chunk 1,1803,1,Polygon,4.2739680259854325
Copy of Chunk 1,1803,2,Polygon,2.3414146506322617
Copy of Chunk 1,1803,3,Polygon,0.5358086522091254
Copy of Chunk 1,2044,3,Polygon,1.0096524601566044
Copy of Chunk 1,2044,4,Polygon,1.0882374950387756
Copy of Chunk 1,1278,1,Polygon,2.4371262606915876
Copy of Chunk 1,1278,2,Polygon,4.133803149488419
Copy of Chunk 1,1278,3,Polygon,0.7853265109018668
Copy of Chunk 1,1278,4,Polygon,0.4503459599450006
Copy of Chunk 1,148,1,Polygon,2.970889263351841
Copy of Chunk 1,148,2,Polygon,4.831560469221297
Copy of Chunk 1,148,3,Polygon,0.747265202632269
Copy of Chunk 1,148,4,Polygon,0.816043952039301
Copy of Chunk 1,1924,1,Polygon,2.655668071826803
Copy of Chunk 1,1924,2,Polygon,2.0541199147202907
Copy of Chunk 1,1924,3,Polygon,0.8426008712943295
Copy of Chunk 1,1924,4,Polygon,1.5868936963405178
Copy of Chunk 1,2184,3,Polygon,0.3600409901261884
Copy of Chunk 1,2184,4,Polygon,0.3599258042812813
Copy of Chunk 1,415,1,Polygon,2.9817178835461187
Copy of Chunk 1,415,3,Polygon,0.45049748954121277
Copy of Chunk 1,415,4,Polygon,0.41674885321406463
Copy of Chunk 1,539,1,Polygon,0.9231777501437529
Copy of Chunk 1,539,2,Polygon,4.933960056924608
Copy of Chunk 1,539,3,Polygon,0.3709444515293946
Copy of Chunk 1,539,4,Polygon,0.4531958483101665
Copy of Chunk 1,49,1,Polygon,3.576401529818938
Copy of Chunk 1,49,2,Polygon,3.591251430247813
Copy of Chunk 1,49,3,Polygon,0.5366374372112672
Copy of Chunk 1,49,4,Polygon,0.6939297858573803
Copy of Chunk 1,2717,1,Polygon,5.2584367731495
Copy of Chunk 1,2717,2,Polygon,2.938639378579437
Copy of Chunk 1,3098,1,Polygon,1.130410787748886
Copy of Chunk 1,3098,2,Polygon,1.2956972786927803
Copy of Chunk 1,3098,3,Polygon,0.36126051406356036
Copy of Chunk 1,3098,4,Polygon,0.4740664782706286
Copy of Chunk 1,2228,1,Polygon,1.4819594509630234
Copy of Chunk 1,2228,2,Polygon,5.463475356257385
Copy of Chunk 1,2228,3,Polygon,0.6401562575875722
Copy of Chunk 1,2228,4,Polygon,0.40882194762113605
Copy of Chunk 1,1593,1,Polygon,6.926583023023447
Copy of Chunk 1,1593,2,Polygon,26.508446163442528
Copy of Chunk 1,245,1,Polygon,5.636507803528961
Copy of Chunk 1,245,3,Polygon,0.5983852354786198
Copy of Chunk 1,942,1,Polygon,4.0466754265217295
Copy of Chunk 1,942,2,Polygon,0.9552425745266798
Copy of Chunk 1,942,3,Polygon,0.45689933361375673
Copy of Chunk 1,942,4,Polygon,0.33898074982308046
Copy of Chunk 1,2881,1,Polygon,6.347018658010909
Copy of Chunk 1,2881,2,Polygon,2.223193526206649
Copy of Chunk 1,2881,3,Polygon,0.30094968744067163
Copy of Chunk 1,3524,3,Polygon,0.5305051163416717
Copy of Chunk 1,3524,4,Polygon,0.38738541271850374
Copy of Chunk 1,2109,3,Polygon,0.4376692802608712
Copy of Chunk 1,2109,1,Polygon,7.020302235729133
Copy of Chunk 1,2109,4,Polygon,0.6198318133092279
Copy of Chunk 1,642,4,Polygon,0.6411974863752581
Copy of Chunk 1,642,3,Polygon,0.27820833864704414
