Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,3138,1,Polygon,0.7767324871420613
Chunk 1,3138,2,Polygon,1.516631931041767
Chunk 1,3138,4,Polygon,0.5667472871735797
Chunk 1,3138,3,Polygon,0.9183666429261701
Chunk 1,325,1,Polygon,1.9256022288263441
Chunk 1,325,3,Polygon,0.7926432968137684
Chunk 1,1330,1,Polygon,1.661097900625795
Chunk 1,1330,2,Polygon,0.5475421840147513
Chunk 1,3075,1,Polygon,0.9021977747758443
Chunk 1,2161,3,Polygon,0.7380932980217945
Chunk 1,2161,1,Polygon,1.390898681118023
Chunk 1,629,3,Polygon,0.7914017605681528
Chunk 1,629,4,Polygon,0.8193094503762894
Chunk 1,629,1,Polygon,0.9827535344245151
Chunk 1,602,3,Polygon,0.7515390188324446
Chunk 1,602,1,Polygon,7.811332687685638
Chunk 1,1557,2,Polygon,2.595949088214845
Chunk 1,1557,1,Polygon,3.2355219449977715
Chunk 1,3315,1,Polygon,1.7753192352229383
Chunk 1,3315,3,Polygon,0.5496078371041214
Chunk 1,3315,4,Polygon,0.5371196182618637
Chunk 1,582,2,Polygon,1.8286236285101014
Chunk 1,582,1,Polygon,3.8230780803443705
Chunk 1,582,3,Polygon,0.5365064845727482
Chunk 1,2160,4,Polygon,0.9471104222952006
Chunk 1,2160,1,Polygon,4.5414465092321565
Chunk 1,1884,1,Polygon,0.6362691899697664
Chunk 1,1753,1,Polygon,1.0524805105296946
Chunk 1,1753,3,Polygon,0.7000712504996436
Chunk 1,2245,2,Polygon,5.023248543729417
Chunk 1,2245,1,Polygon,7.8916207656003925
Chunk 1,10,3,Polygon,0.46282480234434104
Chunk 1,10,1,Polygon,1.5266419695428957
Chunk 1,10,2,Polygon,3.006156075329787
Chunk 1,10,4,Polygon,0.47706030237993974
Chunk 1,2738,3,Polygon,0.6778390616820984
Chunk 1,2738,1,Polygon,8.617254683747415
Chunk 1,2738,2,Polygon,2.229925064050707
Chunk 1,731,1,Polygon,2.8986276006841316
Chunk 1,731,2,Polygon,4.440162178571187
Chunk 1,731,3,Polygon,0.5770039701524435
Chunk 1,1564,3,Polygon,0.8795112233401062
Chunk 1,1564,2,Polygon,6.3809372764744765
Chunk 1,1564,4,Polygon,0.6784657619980006
Chunk 1,1564,1,Polygon,4.278232376552346
Chunk 1,907,1,Polygon,1.6221510976867106
Chunk 1,907,3,Polygon,0.732236649102594
Chunk 1,907,2,Polygon,2.8840748537916236
Chunk 1,907,4,Polygon,0.8360182214163406
Chunk 1,1634,1,Polygon,5.424160706901831
Chunk 1,1634,2,Polygon,3.758257255740739
Chunk 1,1634,3,Polygon,0.7009184014506191
Chunk 1,1634,4,Polygon,0.7804607224036157
Chunk 1,2029,3,Polygon,0.5575763366825516
Chunk 1,2780,1,Polygon,6.207730528060438
Chunk 1,2780,2,Polygon,2.21463357634264
Chunk 1,2780,3,Polygon,0.7292284875862545
Chunk 1,2780,4,Polygon,0.8444629267621409
Chunk 1,2819,1,Polygon,3.530309955282462
Chunk 1,2819,2,Polygon,3.6094665687641694
Chunk 1,2819,3,Polygon,0.8205725826341265
Chunk 1,2819,4,Polygon,0.7739426571141005
Chunk 1,382,1,Polygon,5.517859651396611
Chunk 1,382,2,Polygon,1.94382367773753
Chunk 1,382,3,Polygon,0.8768566137153762
Chunk 1,382,4,Polygon,0.6971414314119536
