Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,2526,1,Polygon,3.9383485704218604
Chunk 1,2526,2,Polygon,2.0743306275423112
Chunk 1,2526,3,Polygon,1.0361106185043192
Chunk 1,1199,1,Polygon,4.527596575883665
Chunk 1,1199,2,Polygon,1.7700362527305225
Chunk 1,1199,3,Polygon,1.0947627839866179
Chunk 1,1373,1,Polygon,4.661978931615046
Chunk 1,1373,2,Polygon,3.612277950331637
Chunk 1,957,1,Polygon,1.0915436896021813
Chunk 1,957,2,Polygon,1.9287161025504935
Chunk 1,3334,1,Polygon,1.3539070061528133
Chunk 1,3334,2,Polygon,1.6667783932731624
Chunk 1,3334,3,Polygon,0.9615257709795141
Chunk 1,3334,4,Polygon,0.853141714691238
Chunk 1,1906,1,Polygon,4.199279764528076
Chunk 1,1906,2,Polygon,0.8870104164054093
Chunk 1,1906,3,Polygon,0.7060445552968702
Chunk 1,2366,1,Polygon,6.041297659973813
Chunk 1,2366,3,Polygon,0.9617364115402673
Chunk 1,2366,4,Polygon,1.5932475246148208
Chunk 1,2995,1,Polygon,2.384259932226697
Chunk 1,2995,2,Polygon,2.0943876955619176
Chunk 1,2995,3,Polygon,0.8034288389569205
Chunk 1,3393,1,Polygon,3.1694581737078136
Chunk 1,3393,2,Polygon,2.9537701421859226
Chunk 1,1430,1,Polygon,1.2185910657256118
Chunk 1,1430,2,Polygon,2.830482091881574
Chunk 1,1430,3,Polygon,0.937921528226226
Chunk 1,1430,4,Polygon,0.8386448601756333
Chunk 1,523,1,Polygon,1.8842182756707213
Chunk 1,523,2,Polygon,2.864239435443769
Chunk 1,523,3,Polygon,0.9936844556000743
Chunk 1,523,4,Polygon,0.5463483487405106
Chunk 1,911,1,Polygon,2.1314129621985956
Chunk 1,911,2,Polygon,3.3926173351305695
Chunk 1,911,3,Polygon,0.7831054654620201
Chunk 1,725,1,Polygon,2.212311840001675
Chunk 1,725,2,Polygon,4.187207533117529
Chunk 1,725,3,Polygon,1.1194819574355004
Chunk 1,725,4,Polygon,0.4942634619117961
Chunk 1,464,1,Polygon,3.3754224918718543
Chunk 1,464,2,Polygon,1.2892394434624648
Chunk 1,464,3,Polygon,0.761595525658878
Chunk 1,464,4,Polygon,0.7642693946388704
Chunk 1,943,1,Polygon,1.5221719838002807
Chunk 1,943,3,Polygon,0.9653180308294874
Chunk 1,54,3,Polygon,0.7885293027137792
Chunk 1,2214,1,Polygon,1.9137949761734352
Chunk 1,2214,3,Polygon,1.11911880347941
Chunk 1,1328,1,Polygon,3.4492278258603264
Chunk 1,1328,2,Polygon,1.4922582739543884
Chunk 1,1328,3,Polygon,0.8491459563054545
Chunk 1,1328,4,Polygon,0.7461229303294657
Chunk 1,3173,1,Polygon,5.230692540921
Chunk 1,3173,2,Polygon,4.004966689201282
Chunk 1,3173,3,Polygon,0.9654612956010454
Chunk 1,3173,4,Polygon,0.7103067374373153
Chunk 1,2389,1,Polygon,5.911661872530839
Chunk 1,2389,2,Polygon,3.7170765514035278
Chunk 1,2472,1,Polygon,2.4447736463337364
Chunk 1,2472,2,Polygon,2.301835084793281
Chunk 1,1835,1,Polygon,5.154341167267007
Chunk 1,1835,2,Polygon,1.5034273823154662
Chunk 1,1835,3,Polygon,0.7461734834340699
Chunk 1,1835,4,Polygon,0.6676138355098523
Chunk 1,2867,1,Polygon,2.2992495844411667
Chunk 1,2867,2,Polygon,3.8162506592594827
Chunk 1,2867,3,Polygon,0.3489929835412032
Chunk 1,2867,4,Polygon,0.5038622016069081
Chunk 1,1662,1,Polygon,2.646136857138538
Chunk 1,1662,2,Polygon,1.4088557443925778
Chunk 1,1662,3,Polygon,0.8333586176567808
Chunk 1,1662,4,Polygon,0.8001874679118245
Chunk 1,2034,1,Polygon,1.4583719395217432
Chunk 1,163,1,Polygon,1.796826765013867
Chunk 1,163,2,Polygon,6.4590922261720625
Chunk 1,163,3,Polygon,0.5712710575060993
Chunk 1,163,4,Polygon,0.975179205513265
Chunk 1,2984,1,Polygon,3.5354092943659254
Chunk 1,2984,2,Polygon,2.320556238044373
Chunk 1,2984,3,Polygon,1.412789423228495
Chunk 1,1412,1,Polygon,1.4727196164894487
Chunk 1,1412,2,Polygon,4.300137635701876
Chunk 1,1412,3,Polygon,0.6896760973711336
Chunk 1,652,1,Polygon,1.9243272412133168
Chunk 1,652,2,Polygon,5.593183471304401
Chunk 1,652,3,Polygon,0.726640414169835
Chunk 1,652,4,Polygon,1.0339334011647425
Chunk 1,615,3,Polygon,1.044399827496125
Chunk 1,615,4,Polygon,1.132990650372495
