Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,3138,1,Polygon,1.3140065776521617
Chunk 1,3138,2,Polygon,1.541131933511102
Chunk 1,3138,3,Polygon,0.6960733945858005
Chunk 1,3138,4,Polygon,0.651614886243902
Chunk 1,325,1,Polygon,1.2759248763125228
Chunk 1,325,3,Polygon,0.5582462373854219
Chunk 1,1330,1,Polygon,1.4923047953980988
Chunk 1,1330,2,Polygon,0.9882978091206507
Chunk 1,3075,1,Polygon,1.2497523729868112
Chunk 1,2161,3,Polygon,0.6697601707467954
Chunk 1,2161,1,Polygon,1.0827294463291417
Chunk 1,629,1,Polygon,1.4208155624761625
Chunk 1,629,3,Polygon,0.7766984121605985
Chunk 1,629,4,Polygon,0.7385347496481417
Chunk 1,602,1,Polygon,3.3990239295776177
Chunk 1,602,3,Polygon,0.6291375167765136
Chunk 1,1557,1,Polygon,5.758604412303758
Chunk 1,1557,2,Polygon,2.397103757647641
Chunk 1,3315,1,Polygon,1.3622768227271995
Chunk 1,3315,3,Polygon,0.5827123647652727
Chunk 1,3315,4,Polygon,0.5888873419643655
Chunk 1,582,1,Polygon,3.1119223621816094
Chunk 1,582,2,Polygon,1.8181159562237712
Chunk 1,582,3,Polygon,0.49690621482267056
Chunk 1,2160,1,Polygon,4.775278454161572
Chunk 1,2160,3,Polygon,0.9229751000172084
Chunk 1,1884,1,Polygon,1.106449294925589
Chunk 1,1753,1,Polygon,1.1372168050648168
Chunk 1,1753,3,Polygon,0.532203459716395
Chunk 1,2245,1,Polygon,5.845416269777268
Chunk 1,2245,2,Polygon,2.6869784429583827
Chunk 1,10,1,Polygon,2.183569180226506
Chunk 1,10,2,Polygon,5.2581983143162105
Chunk 1,10,3,Polygon,0.732199279982044
Chunk 1,10,4,Polygon,0.8089791385545324
Chunk 1,2738,1,Polygon,8.716851690368403
Chunk 1,2738,2,Polygon,1.0879313150941934
Chunk 1,2738,3,Polygon,0.8124485624193022
Chunk 1,731,1,Polygon,3.482248606661629
Chunk 1,731,2,Polygon,3.489439283341418
Chunk 1,731,3,Polygon,0.7277812753975568
Chunk 1,1564,1,Polygon,5.668306296615429
Chunk 1,1564,2,Polygon,8.173034894842099
Chunk 1,1564,3,Polygon,1.1824701598226666
Chunk 1,1564,4,Polygon,0.853176581701366
Chunk 1,907,1,Polygon,2.222644895025595
Chunk 1,907,2,Polygon,3.7684088956879798
Chunk 1,907,3,Polygon,1.0333520061174721
Chunk 1,907,4,Polygon,1.0391997892221136
Chunk 1,1634,1,Polygon,9.674714713681137
Chunk 1,1634,2,Polygon,3.3104337450527166
Chunk 1,1634,3,Polygon,0.7437214165961347
Chunk 1,1634,4,Polygon,0.5315364443373664
Chunk 1,2029,3,Polygon,0.616984656729201
Chunk 1,2780,1,Polygon,8.445331909426155
Chunk 1,2780,2,Polygon,2.8081215072405574
Chunk 1,2780,3,Polygon,1.1737211779028172
Chunk 1,2780,4,Polygon,0.972042060198657
Chunk 1,2819,1,Polygon,4.228775157605381
Chunk 1,2819,2,Polygon,4.066315614024705
Chunk 1,2819,3,Polygon,0.7777551529183901
Chunk 1,2819,4,Polygon,0.668919702043953
Chunk 1,382,1,Polygon,6.369210431480908
Chunk 1,382,2,Polygon,2.4700441322159445
Chunk 1,382,3,Polygon,0.7151454806997972
Chunk 1,382,4,Polygon,0.8784765652837555
