Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,743,1,Polygon,6.361178666982995
Chunk 1,743,2,Polygon,0.7740431705270105
Chunk 1,743,3,Polygon,0.5661671573243834
Chunk 1,743,4,Polygon,0.5152458732091693
Chunk 1,1213,1,Polygon,0.553888371126898
Chunk 1,1213,2,Polygon,2.409903647289582
Chunk 1,1213,3,Polygon,0.6627724179521849
Chunk 1,1213,4,Polygon,0.6180642146121561
Chunk 1,160,1,Polygon,2.686380801314531
Chunk 1,160,2,Polygon,0.8920346316434364
Chunk 1,160,3,Polygon,0.7085934900182566
Chunk 1,160,4,Polygon,0.3897601044112274
Chunk 1,1181,1,Polygon,0.7852945128826918
Chunk 1,1181,2,Polygon,1.7371619542083379
Chunk 1,1181,3,Polygon,0.4881776793669605
Chunk 1,1181,4,Polygon,0.6949984843807364
Chunk 1,261,1,Polygon,1.0965921996193404
Chunk 1,261,2,Polygon,1.8778579719071304
Chunk 1,261,3,Polygon,0.7883935441095341
Chunk 1,261,4,Polygon,0.6689176880799536
Chunk 1,1304,1,Polygon,0.8469250112766212
Chunk 1,1304,2,Polygon,1.8436846627223111
Chunk 1,1304,3,Polygon,0.6257066067464184
Chunk 1,1304,4,Polygon,0.44997711247722694
Chunk 1,681,1,Polygon,1.7592950377995078
Chunk 1,681,2,Polygon,2.658932779857192
Chunk 1,681,3,Polygon,0.7824848360377804
Chunk 1,681,4,Polygon,0.5353742638135159
Chunk 1,2831,1,Polygon,1.2901266997358463
Chunk 1,2831,2,Polygon,1.847152735833514
Chunk 1,2831,3,Polygon,0.2199118797249361
Chunk 1,2831,4,Polygon,0.45241390757347777
Chunk 1,324,1,Polygon,2.0647295548859184
Chunk 1,324,2,Polygon,1.7382466151377276
Chunk 1,324,3,Polygon,0.3832471133640499
Chunk 1,324,4,Polygon,1.5645040668306147
Chunk 1,73,1,Polygon,6.139645715065257
Chunk 1,73,2,Polygon,1.8546152377057934
Chunk 1,73,3,Polygon,0.6517183278696912
Chunk 1,73,4,Polygon,0.597996383237364
Chunk 1,2585,1,Polygon,4.3913678523305
Chunk 1,2585,3,Polygon,0.5644077803935807
Chunk 1,2585,4,Polygon,0.8041645679177019
Chunk 1,2854,1,Polygon,4.6253041060671425
Chunk 1,3143,1,Polygon,1.110011597066923
Chunk 1,3143,2,Polygon,0.6483926283653509
Chunk 1,3143,3,Polygon,0.6482738533830487
Chunk 1,3143,4,Polygon,0.4567132897359182
Chunk 1,788,1,Polygon,7.523267877192968
Chunk 1,788,2,Polygon,1.9897329991962471
Chunk 1,788,3,Polygon,0.7840549003919515
Chunk 1,788,4,Polygon,0.7281173867473847
Chunk 1,3482,1,Polygon,1.5397406035604255
Chunk 1,3482,2,Polygon,5.5059167862961775
Chunk 1,3482,3,Polygon,0.6726447277868483
Chunk 1,3482,4,Polygon,0.8175244376418848
Chunk 1,2191,1,Polygon,1.0088749565537969
Chunk 1,2191,2,Polygon,0.5554232194015872
Chunk 1,2191,3,Polygon,0.4817505022167142
Chunk 1,2191,4,Polygon,0.617584574526322
Chunk 1,3455,1,Polygon,1.41656717379115
Chunk 1,3455,2,Polygon,1.0225253532977232
Chunk 1,3455,3,Polygon,0.41460089019925106
Chunk 1,3455,4,Polygon,2.755599687896717
Chunk 1,1353,1,Polygon,1.6867131641000384
Chunk 1,1353,3,Polygon,0.5331883225787929
Chunk 1,1353,4,Polygon,0.45455185725484065
Chunk 1,1086,1,Polygon,1.0181867095801391
Chunk 1,1086,2,Polygon,1.6431650014562402
Chunk 1,1086,3,Polygon,0.7076637806502037
Chunk 1,2079,1,Polygon,1.295760123768311
Chunk 1,2079,2,Polygon,0.6442885920612114
Chunk 1,2079,3,Polygon,0.6451159154534838
Chunk 1,2079,4,Polygon,0.39909319028844426
Chunk 1,1831,1,Polygon,2.038697692580407
Chunk 1,1831,2,Polygon,1.719797491784395
Chunk 1,1348,1,Polygon,2.8167094820800207
Chunk 1,1348,2,Polygon,1.477204454841514
Chunk 1,1348,3,Polygon,0.48350755831260356
Chunk 1,1348,4,Polygon,0.7155004933637737
Chunk 1,180,1,Polygon,1.4931132450942348
Chunk 1,180,3,Polygon,0.6979018322856407
Chunk 1,180,4,Polygon,0.5673182935303946
Chunk 1,2044,1,Polygon,1.4926399471310332
Chunk 1,2044,2,Polygon,2.162770567796402
Chunk 1,2044,3,Polygon,0.6368120675912815
Chunk 1,3260,1,Polygon,5.97971897178843
Chunk 1,3260,2,Polygon,1.231815341413629
Chunk 1,3260,3,Polygon,0.6738843402775867
Chunk 1,3260,4,Polygon,0.7468665256698009
Chunk 1,84,1,Polygon,2.6233072932616763
Chunk 1,84,2,Polygon,1.5565640737328745
Chunk 1,84,3,Polygon,0.6389947065830607
Chunk 1,84,4,Polygon,0.46679401793082875
Chunk 1,2860,1,Polygon,1.248863126535231
Chunk 1,2860,2,Polygon,0.8855481730711466
Chunk 1,2860,3,Polygon,0.8603783859780345
Chunk 1,2860,4,Polygon,0.5421755131366479
Chunk 1,3066,1,Polygon,1.3025228246432259
Chunk 1,3066,2,Polygon,0.6618735888561801
Chunk 1,3066,3,Polygon,0.699027461101788
Chunk 1,3066,4,Polygon,0.4763210995661748
Chunk 1,3501,1,Polygon,1.146021747687524
Chunk 1,3501,2,Polygon,0.7411137196210063
Chunk 1,3501,3,Polygon,0.7730094846019262
Chunk 1,3501,4,Polygon,0.6443484913161426
Chunk 1,1616,1,Polygon,3.0518066813032614
Chunk 1,1616,2,Polygon,1.6129336806594567
