Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,3261,3,Polygon,1.0848327640366164
Chunk 1,3261,4,Polygon,1.698153975799568
Chunk 1,3480,1,Polygon,1.883572603214138
Chunk 1,3480,2,Polygon,4.611480539064174
Chunk 1,3480,3,Polygon,0.8644728022387902
Chunk 1,3480,4,Polygon,0.8755689023098758
Chunk 1,2316,1,Polygon,2.8676786769441978
Chunk 1,2139,1,Polygon,22.811318007079706
Chunk 1,2139,2,Polygon,3.613808795117265
Chunk 1,2139,3,Polygon,0.540258937188348
Chunk 1,1024,3,Polygon,0.8755689023098769
Chunk 1,574,3,Polygon,0.8063010259253142
Chunk 1,546,1,Polygon,2.7426923153973095
Chunk 1,546,2,Polygon,1.2010898986191159
Chunk 1,546,4,Polygon,0.5418001602778562
Chunk 1,546,3,Polygon,0.9964856806118267
Chunk 1,1547,1,Polygon,5.467797561564404
Chunk 1,1547,3,Polygon,1.1749943214827145
Chunk 1,3168,3,Polygon,0.6761003702809786
Chunk 1,2495,1,Polygon,1.6268198657771658
Chunk 1,2495,3,Polygon,0.6322440077701609
Chunk 1,2495,4,Polygon,1.769425468321609
Chunk 1,2791,1,Polygon,1.7494426717519576
Chunk 1,2791,2,Polygon,1.8134717208787772
Chunk 1,2791,3,Polygon,0.7268579878061876
Chunk 1,2791,4,Polygon,0.7285719005689139
Chunk 1,1837,3,Polygon,0.7903050097127019
Chunk 1,892,1,Polygon,1.6128900832024013
Chunk 1,892,2,Polygon,2.4677077536308833
Chunk 1,892,3,Polygon,0.6834468675543633
Chunk 1,892,4,Polygon,0.562192323790678
Chunk 1,381,1,Polygon,1.5933772823294894
Chunk 1,381,2,Polygon,5.934165576152804
Chunk 1,381,3,Polygon,0.9020394754841227
Chunk 1,381,4,Polygon,0.7559490485913636
Chunk 1,484,1,Polygon,2.937040561447797
Chunk 1,484,2,Polygon,3.1718161174624493
Chunk 1,484,3,Polygon,1.035312534734419
Chunk 1,484,4,Polygon,0.6151021807989276
Chunk 1,586,1,Polygon,3.0452344303831107
Chunk 1,586,2,Polygon,3.931489146908811
Chunk 1,1055,1,Polygon,1.2215370179488831
Chunk 1,1055,3,Polygon,1.1640176625819345
Chunk 1,1055,4,Polygon,0.666371535711823
Chunk 1,1555,1,Polygon,2.1810192056775586
Chunk 1,1555,2,Polygon,1.7131977036565456
Chunk 1,1555,3,Polygon,0.8624434677304832
Chunk 1,1555,4,Polygon,1.218837053475459
Chunk 1,3004,1,Polygon,3.2244444396278205
Chunk 1,3004,2,Polygon,2.846433761742708
Chunk 1,3004,3,Polygon,0.8862547165257039
Chunk 1,3004,4,Polygon,0.7675644475369466
Chunk 1,2646,1,Polygon,2.208989671545217
Chunk 1,2646,2,Polygon,1.0298550322507676
Chunk 1,2646,3,Polygon,0.9009053327811293
Chunk 1,2646,4,Polygon,0.9483660116552561
Chunk 1,470,1,Polygon,1.5340367400870154
Chunk 1,470,3,Polygon,0.9340140394017109
Chunk 1,470,4,Polygon,0.5001529803715631
Chunk 1,2462,1,Polygon,3.350371505182546
Chunk 1,2462,3,Polygon,0.6328396517765189
Chunk 1,2462,4,Polygon,0.7407887212722958
Chunk 1,2971,1,Polygon,2.322641360091661
Chunk 1,2971,3,Polygon,0.8835832629717542
Chunk 1,2971,4,Polygon,0.6614228098384165
Chunk 1,1405,1,Polygon,0.9434683468063239
Chunk 1,1405,2,Polygon,4.408788848549381
Chunk 1,1405,3,Polygon,1.0089886936622223
Chunk 1,1405,4,Polygon,0.6120637602177209
Chunk 1,2890,1,Polygon,3.4034318277430313
Chunk 1,2890,2,Polygon,4.1182340056442035
Chunk 1,992,1,Polygon,2.5534643553252643
Chunk 1,992,2,Polygon,2.454620573828808
Chunk 1,992,3,Polygon,0.9666226796516237
Chunk 1,992,4,Polygon,0.7849703109537445
Chunk 1,613,1,Polygon,8.888894841323095
Chunk 1,613,3,Polygon,0.8402955969483242
Chunk 1,613,4,Polygon,0.5417749699202662
