Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,3261,3,Polygon,0.6259442465394487
Chunk 1,3261,4,Polygon,0.6368017596264494
Chunk 1,3480,1,Polygon,1.3527944281969522
Chunk 1,3480,2,Polygon,0.7590070381742519
Chunk 1,3480,3,Polygon,0.5635832564767268
Chunk 1,3480,4,Polygon,0.18708763854482863
Chunk 1,2316,1,Polygon,0.9469547507834655
Chunk 1,2139,1,Polygon,3.5379281661215685
Chunk 1,2139,3,Polygon,0.502985796048897
Chunk 1,2139,2,Polygon,2.8883537004422286
Chunk 1,1024,3,Polygon,0.6185935157631933
Chunk 1,574,3,Polygon,0.2022587286770968
Chunk 1,546,1,Polygon,2.553294284864007
Chunk 1,546,2,Polygon,1.4858374092623454
Chunk 1,546,3,Polygon,0.6174400908824652
Chunk 1,546,4,Polygon,0.5328397790632191
Chunk 1,1547,1,Polygon,1.844500075756555
Chunk 1,1547,3,Polygon,0.8935763370218561
Chunk 1,3168,3,Polygon,0.41279711864251256
Chunk 1,2495,3,Polygon,0.5715946678668997
Chunk 1,2495,4,Polygon,0.7406659690958175
Chunk 1,2495,1,Polygon,1.1000885753469385
Chunk 1,2791,1,Polygon,1.4662869170352155
Chunk 1,2791,2,Polygon,0.6354078420292687
Chunk 1,2791,3,Polygon,0.4701527578994501
Chunk 1,2791,4,Polygon,0.5783246761179845
Chunk 1,1837,3,Polygon,0.3574620531850512
Chunk 1,892,1,Polygon,1.4865483362524203
Chunk 1,892,2,Polygon,0.9337661555035586
Chunk 1,892,3,Polygon,0.668662828662162
Chunk 1,892,4,Polygon,0.6363931499005856
Chunk 1,381,1,Polygon,0.95011455624188
Chunk 1,381,2,Polygon,1.6143228598192076
Chunk 1,381,3,Polygon,0.46873164642743353
Chunk 1,381,4,Polygon,0.6706026930742752
Chunk 1,484,3,Polygon,0.8533993789148584
Chunk 1,484,1,Polygon,2.124617432675993
Chunk 1,484,4,Polygon,0.5494556216281474
Chunk 1,484,2,Polygon,1.8849706051279937
Chunk 1,586,1,Polygon,3.02867747344612
Chunk 1,586,2,Polygon,1.4175425806849382
Chunk 1,1055,1,Polygon,1.2966036979283966
Chunk 1,1055,3,Polygon,0.49188214136701836
Chunk 1,1055,4,Polygon,0.6218530569785718
Chunk 1,1555,1,Polygon,1.476405501479708
Chunk 1,1555,2,Polygon,0.9411716075985165
Chunk 1,1555,3,Polygon,0.5726911772324943
Chunk 1,1555,4,Polygon,0.748348043796481
Chunk 1,3004,1,Polygon,3.038612332144493
Chunk 1,3004,2,Polygon,3.2747385656606447
Chunk 1,3004,3,Polygon,1.028465506143588
Chunk 1,3004,4,Polygon,0.6652048094927436
Chunk 1,2646,1,Polygon,2.6027425662791455
Chunk 1,2646,2,Polygon,0.92447931686986
Chunk 1,2646,3,Polygon,0.9027404962775871
Chunk 1,2646,4,Polygon,0.757949045286916
Chunk 1,470,1,Polygon,1.2740853642062036
Chunk 1,470,3,Polygon,0.7095686651784491
Chunk 1,470,4,Polygon,0.47332691655550474
Chunk 1,2462,1,Polygon,1.1715094210541628
Chunk 1,2462,3,Polygon,0.48039475094665707
Chunk 1,2462,4,Polygon,0.5132206499002576
Chunk 1,2971,1,Polygon,2.4491434808176114
Chunk 1,2971,3,Polygon,0.6062531940459384
Chunk 1,2971,4,Polygon,0.38173157953140074
Chunk 1,1405,1,Polygon,0.9241345375443079
Chunk 1,1405,2,Polygon,1.7218651699681387
Chunk 1,1405,3,Polygon,0.8344496210182831
Chunk 1,1405,4,Polygon,0.7422173935196099
Chunk 1,2890,1,Polygon,1.8185901153564632
Chunk 1,2890,2,Polygon,3.677891650284681
Chunk 1,992,1,Polygon,1.9677919665437493
Chunk 1,992,2,Polygon,1.492064040717104
Chunk 1,992,3,Polygon,0.8249130539209324
Chunk 1,992,4,Polygon,0.9268114875890573
Chunk 1,613,3,Polygon,0.5325493803439815
Chunk 1,613,1,Polygon,0.6911821242288587
Chunk 1,613,4,Polygon,0.16370768799612234
