Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,2636,1,Polygon,1.2689791709285976
Chunk 1,808,1,Polygon,1.0874888414619668
Chunk 1,808,2,Polygon,0.8160691117655715
Chunk 1,808,3,Polygon,0.40570188164536986
Chunk 1,1161,1,Polygon,1.650291370645705
Chunk 1,1498,3,Polygon,0.3236455342231972
Chunk 1,1498,1,Polygon,0.532194803103062
Chunk 1,1826,1,Polygon,2.331993615669797
Chunk 1,3581,3,Polygon,0.2542833881778258
Chunk 1,3581,4,Polygon,0.5760407987391988
Chunk 1,278,3,Polygon,0.604415186421615
Chunk 1,278,1,Polygon,1.2695045176897146
Chunk 1,1196,4,Polygon,0.5830822920426291
Chunk 1,1196,3,Polygon,0.740572730652316
Chunk 1,457,1,Polygon,0.6955119047704282
Chunk 1,2895,1,Polygon,3.0107147216034016
Chunk 1,2895,2,Polygon,1.4879583205707385
Chunk 1,2895,3,Polygon,0.3970874315246279
Chunk 1,3462,1,Polygon,0.7909799892613518
Chunk 1,2347,3,Polygon,0.347960594574645
Chunk 1,1957,1,Polygon,1.0018442308574613
Chunk 1,1957,2,Polygon,0.6781342893477034
Chunk 1,1957,3,Polygon,0.4717836107398347
Chunk 1,1750,1,Polygon,1.1241144976574435
Chunk 1,1937,3,Polygon,0.749409665104969
Chunk 1,1510,3,Polygon,0.4733446020624448
Chunk 1,1510,4,Polygon,0.6759216010125075
Chunk 1,3154,3,Polygon,0.5126815833924777
Chunk 1,3154,4,Polygon,0.39321371416795947
Chunk 1,1333,1,Polygon,1.9304087007477237
Chunk 1,1333,2,Polygon,1.3729673810156788
Chunk 1,896,1,Polygon,1.1604988799487752
Chunk 1,896,2,Polygon,1.3494804476709032
Chunk 1,896,3,Polygon,0.38754211236243624
Chunk 1,96,1,Polygon,3.8028118571873164
Chunk 1,96,2,Polygon,1.6148963707289086
Chunk 1,96,3,Polygon,0.7832475316041385
Chunk 1,1525,1,Polygon,3.2875772222194977
Chunk 1,1525,2,Polygon,1.2348967959773312
Chunk 1,1525,3,Polygon,0.8031716628190134
Chunk 1,1525,4,Polygon,0.33020169777819536
Chunk 1,2855,1,Polygon,2.97373244052716
Chunk 1,2855,2,Polygon,0.9637788428587251
Chunk 1,326,3,Polygon,0.30830889974220427
Chunk 1,1108,1,Polygon,1.7361323908264976
Chunk 1,1108,2,Polygon,3.4354731115002086
Chunk 1,1108,3,Polygon,0.49336441791138635
Chunk 1,1108,4,Polygon,0.6090150889584194
Chunk 1,3261,1,Polygon,1.0782784096528473
Chunk 1,3261,2,Polygon,1.2431783158272172
Chunk 1,2602,1,Polygon,2.7689894565337596
Chunk 1,2602,2,Polygon,2.642347882597453
Chunk 1,2602,3,Polygon,0.7792132058699446
Chunk 1,2602,4,Polygon,0.5590903079977261
Chunk 1,1453,1,Polygon,3.3001854356042037
Chunk 1,1453,2,Polygon,13.353591051248877
Chunk 1,1453,3,Polygon,0.9567207525173459
Chunk 1,1453,4,Polygon,0.8888123883156714
