Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,1977,1,Polygon,1.1658847871765305
Chunk 1,2858,1,Polygon,0.9962337536474212
Chunk 1,2858,3,Polygon,0.4869439569765584
Chunk 1,3044,1,Polygon,1.162415948632815
Chunk 1,3044,2,Polygon,1.191023328624973
Chunk 1,3044,3,Polygon,0.4418951310102691
Chunk 1,3425,1,Polygon,3.058749016240535
Chunk 1,3425,2,Polygon,1.3095821254561555
Chunk 1,2332,1,Polygon,1.418907819018858
Chunk 1,2332,3,Polygon,0.2389150163240597
Chunk 1,2332,2,Polygon,0.5152743464007197
Chunk 1,2332,4,Polygon,0.3875442952656167
Chunk 1,644,1,Polygon,0.47177553248536946
Chunk 1,644,2,Polygon,0.9912043701771261
Chunk 1,644,3,Polygon,0.3336358977372851
Chunk 1,644,4,Polygon,0.34232542054763576
Chunk 1,2576,1,Polygon,0.9426953043166897
Chunk 1,2576,3,Polygon,0.2223656773298255
Chunk 1,815,1,Polygon,1.239884305424527
Chunk 1,815,3,Polygon,0.30245208878517704
Chunk 1,815,4,Polygon,0.2853960303990963
Chunk 1,1803,1,Polygon,1.651556611229285
Chunk 1,1803,2,Polygon,0.6458802907577678
Chunk 1,1803,3,Polygon,0.43010323617665047
Chunk 1,2044,3,Polygon,0.4966015813501365
Chunk 1,2044,4,Polygon,0.6946112327459674
Chunk 1,1278,1,Polygon,3.0934351451128945
Chunk 1,1278,2,Polygon,1.784115786751273
Chunk 1,1278,3,Polygon,0.8636724467077871
Chunk 1,1278,4,Polygon,0.24553520469817314
Chunk 1,148,1,Polygon,0.5213164715866638
Chunk 1,148,2,Polygon,0.6737794057095345
Chunk 1,148,3,Polygon,0.2702653955960047
Chunk 1,148,4,Polygon,0.23939404262455843
Chunk 1,1924,1,Polygon,2.964649340818642
Chunk 1,1924,2,Polygon,2.2938445545489197
Chunk 1,1924,3,Polygon,0.4241385361247215
Chunk 1,1924,4,Polygon,0.7127088824838711
Chunk 1,2184,3,Polygon,0.4076528153191415
Chunk 1,2184,4,Polygon,0.4743574569879756
Chunk 1,415,1,Polygon,0.6113817553223128
Chunk 1,415,3,Polygon,0.3277360866368492
Chunk 1,415,4,Polygon,0.2847450358042073
Chunk 1,539,1,Polygon,0.6965434224361924
Chunk 1,539,2,Polygon,0.7075423926459149
Chunk 1,539,3,Polygon,0.3927835588247354
Chunk 1,539,4,Polygon,0.41396222231448937
Chunk 1,49,1,Polygon,4.048664013277939
Chunk 1,49,2,Polygon,1.3225674294988006
Chunk 1,49,3,Polygon,0.4331774836786385
Chunk 1,49,4,Polygon,0.47677298388022366
Chunk 1,2717,1,Polygon,2.885496906257993
Chunk 1,2717,2,Polygon,0.5741772326916081
Chunk 1,3098,1,Polygon,1.5649784676817944
Chunk 1,3098,2,Polygon,1.0448703617987
Chunk 1,3098,3,Polygon,0.42377264378288604
Chunk 1,3098,4,Polygon,0.7314939612519966
Chunk 1,2228,1,Polygon,0.7541680896304865
Chunk 1,2228,2,Polygon,2.2488341836081367
Chunk 1,2228,3,Polygon,0.45114089446789707
Chunk 1,2228,4,Polygon,0.2792940651563835
Chunk 1,1593,1,Polygon,0.9858662144990546
Chunk 1,1593,2,Polygon,1.3742185295306684
Chunk 1,1593,3,Polygon,0.24750733664028268
Chunk 1,1593,4,Polygon,0.4150302779373218
Chunk 1,245,1,Polygon,1.3581606582551757
Chunk 1,245,3,Polygon,0.276151907151677
Chunk 1,942,1,Polygon,3.9110814553506392
Chunk 1,942,2,Polygon,1.0714454017350736
Chunk 1,942,3,Polygon,0.5482586910618519
Chunk 1,942,4,Polygon,0.4349190210138992
Chunk 1,2881,1,Polygon,1.6500316452731951
Chunk 1,2881,2,Polygon,1.5961085477474846
Chunk 1,2881,3,Polygon,0.35489358431163104
Chunk 1,3524,3,Polygon,0.4654027268158068
Chunk 1,3524,4,Polygon,0.3916383482848849
Chunk 1,2109,1,Polygon,1.525297987885381
Chunk 1,2109,3,Polygon,0.7299825541292299
Chunk 1,2109,4,Polygon,0.31560217960191694
Chunk 1,642,4,Polygon,0.3119566098705419
Chunk 1,642,3,Polygon,0.4043099386548097
