Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,2526,1,Polygon,3.4997199432900765
Chunk 1,2526,2,Polygon,2.00672881936134
Chunk 1,2526,3,Polygon,0.9048263813961226
Chunk 1,1199,1,Polygon,3.77871479475085
Chunk 1,1199,2,Polygon,1.4830347926133345
Chunk 1,1199,3,Polygon,0.44551151297445907
Chunk 1,1373,1,Polygon,3.4205271340721515
Chunk 1,1373,2,Polygon,2.1575332162606933
Chunk 1,957,1,Polygon,0.9250585240857278
Chunk 1,957,2,Polygon,1.1827112532759716
Chunk 1,3334,1,Polygon,1.1598825135432884
Chunk 1,3334,2,Polygon,1.3282027006415162
Chunk 1,3334,3,Polygon,0.7185220674626993
Chunk 1,3334,4,Polygon,0.7445893868334623
Chunk 1,1906,1,Polygon,2.786331674416816
Chunk 1,1906,3,Polygon,0.6434966857427247
Chunk 1,1906,2,Polygon,0.6477832154568205
Chunk 1,2366,1,Polygon,3.840142550773625
Chunk 1,2366,3,Polygon,0.7262447951227496
Chunk 1,2366,4,Polygon,0.6104950629357234
Chunk 1,2995,1,Polygon,1.6818867351211497
Chunk 1,2995,3,Polygon,0.7583306815510354
Chunk 1,2995,2,Polygon,1.0072047700986002
Chunk 1,3393,1,Polygon,1.4717947133413358
Chunk 1,3393,2,Polygon,1.9743199241270675
Chunk 1,1430,1,Polygon,1.2029032976495584
Chunk 1,1430,2,Polygon,1.272657975572375
Chunk 1,1430,3,Polygon,0.7175853941900293
Chunk 1,1430,4,Polygon,0.9848999483041334
Chunk 1,523,1,Polygon,1.9531904012221026
Chunk 1,523,2,Polygon,2.753822502623963
Chunk 1,523,3,Polygon,0.8676404524712494
Chunk 1,523,4,Polygon,0.443027819003682
Chunk 1,911,1,Polygon,1.6643176466870175
Chunk 1,911,2,Polygon,2.99225795778929
Chunk 1,911,3,Polygon,0.5373694565289417
Chunk 1,725,1,Polygon,1.9539235808021445
Chunk 1,725,2,Polygon,2.413871570679516
Chunk 1,725,3,Polygon,1.000835391844471
Chunk 1,725,4,Polygon,0.5438688369680047
Chunk 1,464,1,Polygon,2.7173460546036163
Chunk 1,464,2,Polygon,0.8047641238550467
Chunk 1,464,3,Polygon,0.5773654052718157
Chunk 1,464,4,Polygon,0.6067277578842267
Chunk 1,943,1,Polygon,0.7742015457353381
Chunk 1,943,3,Polygon,0.7521117615498015
Chunk 1,54,3,Polygon,0.684934609643129
Chunk 1,2214,3,Polygon,0.5352990167699078
Chunk 1,2214,1,Polygon,0.9910003224814591
Chunk 1,1328,1,Polygon,3.0598027806932935
Chunk 1,1328,2,Polygon,1.236385165137973
Chunk 1,1328,3,Polygon,0.9356385301597294
Chunk 1,1328,4,Polygon,0.7677022638468222
Chunk 1,3173,1,Polygon,4.4339946256243845
Chunk 1,3173,2,Polygon,2.521412694875778
Chunk 1,3173,3,Polygon,0.5334889967060086
Chunk 1,3173,4,Polygon,0.5866639325733354
Chunk 1,2389,1,Polygon,2.10410207241943
Chunk 1,2389,2,Polygon,1.2560917007416035
Chunk 1,2472,1,Polygon,1.7791824475596747
Chunk 1,2472,2,Polygon,1.6600624115317935
Chunk 1,1835,1,Polygon,5.548039498270675
Chunk 1,1835,2,Polygon,1.465137194109932
Chunk 1,1835,3,Polygon,0.8306364053326231
Chunk 1,1835,4,Polygon,0.7399718854067628
Chunk 1,2867,1,Polygon,0.9702409775840514
Chunk 1,2867,2,Polygon,1.7119582743786064
Chunk 1,2867,3,Polygon,0.394433115119989
Chunk 1,2867,4,Polygon,0.2775302541559774
Chunk 1,1662,1,Polygon,2.440754821947591
Chunk 1,1662,2,Polygon,1.053090270128402
Chunk 1,1662,3,Polygon,0.7949565930263777
Chunk 1,1662,4,Polygon,0.41395650364117315
Chunk 1,2034,1,Polygon,0.5260697233773269
Chunk 1,163,1,Polygon,0.9157412954678692
Chunk 1,163,2,Polygon,3.7537503126233815
Chunk 1,163,3,Polygon,0.5182961578867682
Chunk 1,163,4,Polygon,0.9351074850893419
Chunk 1,2984,1,Polygon,2.8992085244050423
Chunk 1,2984,2,Polygon,1.3029946671629333
Chunk 1,2984,3,Polygon,0.32276987830320225
Chunk 1,1412,1,Polygon,2.0834519732755776
Chunk 1,1412,2,Polygon,3.787605710477994
Chunk 1,1412,3,Polygon,0.6649630239411402
Chunk 1,652,1,Polygon,2.2645473295450502
Chunk 1,652,2,Polygon,6.214404282181361
Chunk 1,652,3,Polygon,0.5589272331825589
Chunk 1,652,4,Polygon,0.533510341074564
Chunk 1,615,3,Polygon,0.9626647885903348
Chunk 1,615,4,Polygon,0.981238671284634
